GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo2,aed,Horario,2,54,1,7,1,15,1,8,0,5
labo2,aed,Recordatorio,6,77,6,6,2,15,6,6,0,6
labo2,aed,ArregloRedimensionableDeRecordatorios,0,79,0,2,0,17,0,9,0,8
labo2,aed,Agenda,0,76,0,4,0,19,0,7,0,5
labo2,aed,Fecha,0,158,0,12,0,33,0,14,0,8
